,,VOCAB,FSIZE,Nu,Macro-P,Macro-R,Macro-AUC,Macro-F05,Macro-F1
POS3G,SANTINIS,43,4,0.05,0.1514018499,0.1021916667,0.0576867,0.1381013652,0.1220221052
POS3G,SANTINIS,43,4,0.07,0.1458764082,0.0997416667,0,0.1335242821,0.1184762652
POS3G,SANTINIS,43,4,0.1,0.17492826,0.080575,0,0.1417341459,0.1103300564
POS3G,SANTINIS,43,4,0.15,0.1735325232,0.0732083333,0,0.136202368,0.1029746511
POS3G,SANTINIS,43,4,0.17,0.1777416426,0.0817166667,0,0.1439181073,0.1119598336
POS3G,SANTINIS,43,4,0.3,0.1534889127,0.0932166667,0,0.1359131106,0.1159902816
POS3G,SANTINIS,43,4,0.5,0.1347028514,0.092475,0,0.1234302001,0.1096642662
POS3G,SANTINIS,43,4,0.7,0.1145889763,0.06805,0,0.1008014747,0.0853900958
POS3G,SANTINIS,43,4,0.9,0.1490233368,0.0749,0,0.1244011068,0.0996934762
POS3G,SANTINIS,43,10,0.05,0.1514018499,0.1021916667,0.0576867,0.1381013652,0.1220221052
POS3G,SANTINIS,43,10,0.07,0.1458764082,0.0997416667,0,0.1335242821,0.1184762652
POS3G,SANTINIS,43,10,0.1,0.17492826,0.080575,0,0.1417341459,0.1103300564
POS3G,SANTINIS,43,10,0.15,0.1735325232,0.0732083333,0,0.136202368,0.1029746511
POS3G,SANTINIS,43,10,0.17,0.1777416426,0.0817166667,0,0.1439181073,0.1119598336
POS3G,SANTINIS,43,10,0.3,0.1534889127,0.0932166667,0,0.1359131106,0.1159902816
POS3G,SANTINIS,43,10,0.5,0.1347028514,0.092475,0,0.1234302001,0.1096642662
POS3G,SANTINIS,43,10,0.7,0.1145889763,0.06805,0,0.1008014747,0.0853900958
POS3G,SANTINIS,43,10,0.9,0.1490233368,0.0749,0,0.1244011068,0.0996934762
POS3G,SANTINIS,43,20,0.05,0.1514018499,0.1021916667,0.0576867,0.1381013652,0.1220221052
POS3G,SANTINIS,43,20,0.07,0.1458764082,0.0997416667,0,0.1335242821,0.1184762652
POS3G,SANTINIS,43,20,0.1,0.17492826,0.080575,0,0.1417341459,0.1103300564
POS3G,SANTINIS,43,20,0.15,0.1735325232,0.0732083333,0,0.136202368,0.1029746511
POS3G,SANTINIS,43,20,0.17,0.1777416426,0.0817166667,0,0.1439181073,0.1119598336
POS3G,SANTINIS,43,20,0.3,0.1534889127,0.0932166667,0,0.1359131106,0.1159902816
POS3G,SANTINIS,43,20,0.5,0.1347028514,0.092475,0,0.1234302001,0.1096642662
POS3G,SANTINIS,43,20,0.7,0.1145889763,0.06805,0,0.1008014747,0.0853900958
POS3G,SANTINIS,43,20,0.9,0.1490233368,0.0749,0,0.1244011068,0.0996934762
POS3G,SANTINIS,43,40,0.05,0.1514018499,0.1021916667,0.0576867,0.1381013652,0.1220221052
POS3G,SANTINIS,43,40,0.07,0.1458764082,0.0997416667,0,0.1335242821,0.1184762652
