,,VOCAB,FSIZE,SIMILARITY,SIGMA,ITER,MACRO-P,MCARO-R,MACRO-AUC,MACRO-F05,MACRO-F1
W1G,SANTINIS,5000,500,cosine_sim,0.5,200,0.7319097318,0.7517833333,0.65257514,0.735799947,0.7417134322
W1G,SANTINIS,5000,500,cosine_sim,0.7,200,0.8766709025,0.595725,0.4783053,0.8011096997,0.7093944944
W1G,SANTINIS,5000,500,cosine_sim,0.9,200,0.9707829875,0.339875,0.2978738,0.7079502139,0.5034797346
W1G,SANTINIS,5000,500,minmax_sim,0.5,200,0.6007904505,0.7596083333,0.63910073,0.6270093018,0.6709289044
W1G,SANTINIS,5000,500,minmax_sim,0.7,200,0.7596480487,0.6763416667,0.5674735,0.7413844811,0.7155784221
W1G,SANTINIS,5000,500,minmax_sim,0.9,200,0.9406352474,0.5441,0.48638156,0.820971849,0.689415354
W1G,SANTINIS,5000,1000,cosine_sim,0.5,200,0.6110279465,0.8015416667,0.6688435,0.641523957,0.6934374831
W1G,SANTINIS,5000,1000,cosine_sim,0.7,200,0.7815104196,0.6569916667,0.5405638,0.7529685933,0.7138617844
W1G,SANTINIS,5000,1000,cosine_sim,0.9,200,0.8801427022,0.4383083333,0.37936312,0.7324701746,0.585192579
W1G,SANTINIS,5000,1000,minmax_sim,0.5,200,0.4937151743,0.7905583333,0.6184836,0.5338021645,0.6078310314
W1G,SANTINIS,5000,1000,minmax_sim,0.7,200,0.6069432267,0.7413583333,0.6251877,0.6297802197,0.6674507133
W1G,SANTINIS,5000,1000,minmax_sim,0.9,200,0.8338875082,0.656375,0.56711,0.7910980078,0.7345590595
W1G,SANTINIS,5000,500,cosine_sim,0.5,300,0.7501976975,0.7572083333,0.6448483,0.7515894201,0.7536867129
W1G,SANTINIS,5000,500,cosine_sim,0.7,300,0.8860368222,0.6106,0.5702012,0.8127149658,0.7229731029
W1G,SANTINIS,5000,500,cosine_sim,0.9,300,0.962973384,0.353575,0.2976689,0.7161214956,0.5172363103
W1G,SANTINIS,5000,500,minmax_sim,0.5,300,0.602624516,0.7614583333,0.6345217,0.6288594778,0.6727941192
W1G,SANTINIS,5000,500,minmax_sim,0.7,300,0.778001417,0.6813583333,0.57170206,0.7565400622,0.7264798809
W1G,SANTINIS,5000,500,minmax_sim,0.9,300,0.9415298312,0.545775,0.48755002,0.822278912,0.690999495
W1G,SANTINIS,5000,1000,cosine_sim,0.5,300,0.6176240907,0.80685,0.6729971,0.6480193437,0.699668742
W1G,SANTINIS,5000,1000,cosine_sim,0.7,300,0.777632874,0.659025,0.54246753,0.750614538,0.7134329113
W1G,SANTINIS,5000,1000,cosine_sim,0.9,300,0.8668624352,0.4454166667,0.37750182,0.7289234166,0.5884647188
W1G,SANTINIS,5000,1000,minmax_sim,0.5,300,0.4847365143,0.7906083333,0.6218643,0.5253891972,0.6009931014
W1G,SANTINIS,5000,1000,minmax_sim,0.7,300,0.6065490521,0.73975,0.62374485,0.6292083698,0.6665601682
W1G,SANTINIS,5000,1000,minmax_sim,0.9,300,0.8207066179,0.6575916667,0.56322026,0.7819159261,0.730150117
W1G,SANTINIS,5000,500,cosine_sim,0.5,500,0.7402442726,0.7504916667,0.65187293,0.7422713028,0.7453327491
W1G,SANTINIS,5000,500,cosine_sim,0.7,500,0.8897081582,0.6080833333,0.5782918,0.8142834819,0.7224192494
W1G,SANTINIS,5000,500,cosine_sim,0.9,500,0.9610783576,0.3319083333,0.29744282,0.6968765816,0.4934156215
W1G,SANTINIS,5000,500,minmax_sim,0.5,500,0.6095816276,0.76135,0.63893586,0.6348937142,0.6770650889
W1G,SANTINIS,5000,500,minmax_sim,0.7,500,0.7762507836,0.682175,0.5722735,0.7554155693,0.7261787117
W1G,SANTINIS,5000,500,minmax_sim,0.9,500,0.9473277489,0.5503666667,0.48779705,0.8279003749,0.6962403144
W1G,SANTINIS,5000,1000,cosine_sim,0.5,500,0.6143481338,0.8068833333,0.67206687,0.6451360802,0.697574296
